participantID,videoID,condition,time,bad,C3_mu_suppression,C4_mu_suppression,O1_alpha_suppression,O2_alpha_suppression,Central_suppression,Occipital_suppression,rating,targetRating,ratingChange,ratingChangeCategorical,targetRatingChange,targetRatingChangeCategorical,detectChange
103,53v2,both,150,,0.098440073,-0.068654405,-0.909370289,-1.913977102,0.014892834,-1.411673695,80.83333333,93.13333333,5.833333333,Increase,-1.066666667,Decrease,FALSE
103,53v2,both,153,,-0.287682072,-1.089178256,-0.875468737,-1.521935014,-0.688430164,-1.198701876,82,91.5,1.166666667,Increase,-1.633333333,Decrease,FALSE
103,53v2,both,156,,0.422559541,0.757389449,0.743919506,-0.184093036,0.589974495,0.279913235,82,90.11666667,0,Maintain,-1.383333333,Decrease,FALSE
103,53v2,both,159,,1.517398241,0.528674853,0.034133006,-1.172039757,1.023036547,-0.568953375,84,96.66666667,2,Increase,6.55,Increase,TRUE
103,53v2,both,162,,1.215117369,0.91723815,1.260668148,-0.370678992,1.06617776,0.444994578,89.5,98.76666667,5.5,Increase,2.1,Increase,TRUE
103,53v2,both,165,,1.008461192,0.193319311,0.940983344,-1.282705325,0.600890251,-0.17086099,90,94.26666667,0.5,Increase,-4.5,Decrease,FALSE
103,53v2,both,168,,1.199653143,-0.068654405,0.485507816,-0.08942781,0.565499369,0.198040003,90,92.56666667,0,Maintain,-1.7,Decrease,FALSE
103,53v2,both,171,,0.050430854,1.046736801,0.519124427,-0.308547211,0.548583827,0.105288608,91.66666667,95.76666667,1.666666667,Increase,3.2,Increase,TRUE
104,53v2,audioOnly,3,,-0.994622575,-0.762140052,-1.386294361,0.018349139,-0.878381314,-0.683972611,50,50,-41.66666667,Decrease,-45.76666667,Decrease,TRUE
104,53v2,audioOnly,6,,-0.856472237,0,-0.168136922,-0.057158414,-0.428236118,-0.112647668,50,51.3,0,Maintain,1.3,Increase,FALSE
104,53v2,audioOnly,9,,-1.199416988,-0.265703166,-1.063520969,1.15267951,-0.732560077,0.044579271,47.83333333,45.31666667,-2.166666667,Decrease,-5.983333333,Decrease,TRUE
104,53v2,audioOnly,12,,-0.440311839,0.064538521,-0.319942935,0.564892845,-0.187886659,0.122474955,44,48.73333333,-3.833333333,Decrease,3.416666667,Increase,FALSE
104,53v2,audioOnly,15,,-1.071583616,-0.48342665,0.566395475,0.790139447,-0.777505133,0.678267461,39.33333333,54.21666667,-4.666666667,Decrease,5.483333333,Increase,FALSE
104,53v2,audioOnly,18,,-0.398639143,-0.405465108,0.619039208,0.959775844,-0.402052126,0.789407526,38,56.3,-1.333333333,Decrease,2.083333333,Increase,FALSE
104,53v2,audioOnly,21,,-0.212921997,0.324496046,0.101782694,1.552279499,0.055787024,0.827031096,38,59.65,0,Maintain,3.35,Increase,FALSE
104,53v2,audioOnly,24,,-0.856472237,-0.456758402,-0.423483614,1.734601055,-0.65661532,0.655558721,35.83333333,61.23333333,-2.166666667,Decrease,1.583333333,Increase,FALSE
104,53v2,audioOnly,27,,0.140357358,0.427444015,1.269626775,1.358123484,0.283900686,1.313875129,30,63.23333333,-5.833333333,Decrease,2,Increase,FALSE
104,53v2,audioOnly,30,,-1.892564168,-0.660357358,0.710846758,1.74435723,-1.276460763,1.227601994,30,60.43333333,0,Maintain,-2.8,Decrease,FALSE
104,53v2,audioOnly,33,,-1.987874348,-1.261131218,-0.087011377,0.781700578,-1.624502783,0.3473446,30,47.36666667,0,Maintain,-13.06666667,Decrease,FALSE
104,53v2,audioOnly,36,,-1.400087683,-0.597837001,-0.717244732,-0.204794413,-0.998962342,-0.461019572,30,45.55,0,Maintain,-1.816666667,Decrease,FALSE
104,53v2,audioOnly,39,,-0.013793322,-0.105360516,0.716677678,2.041701214,-0.059576919,1.379189446,30,47.35,0,Maintain,1.8,Increase,FALSE
104,53v2,audioOnly,42,,-0.679541529,0.168335315,1.415621976,1.652923024,-0.255603107,1.5342725,30,51.53333333,0,Maintain,4.183333333,Increase,FALSE
104,53v2,audioOnly,45,,-0.320167528,-0.105360516,0.930475367,2.19310086,-0.212764022,1.561788114,30,54.05,0,Maintain,2.516666667,Increase,FALSE
104,53v2,audioOnly,48,,0.198176929,-0.223143551,0.953678264,2.211525127,-0.012483311,1.582601696,30,45.76666667,0,Maintain,-8.283333333,Decrease,FALSE
104,53v2,audioOnly,51,,0,0.459532329,1.785789302,3.099424732,0.229766165,2.442607017,30,49.48333333,0,Maintain,3.716666667,Increase,FALSE
104,53v2,audioOnly,54,,-0.041964199,0.032789823,1.834484414,2.602689685,-0.004587188,2.21858705,30,50.68333333,0,Maintain,1.2,Increase,FALSE
104,53v2,audioOnly,57,,-0.147324715,-0.033901552,-0.287682072,0.554310736,-0.090613133,0.133314332,34,52.03333333,4,Increase,1.35,Increase,TRUE
104,53v2,audioOnly,60,,-0.358633808,-0.051293294,0.428995606,1.319283651,-0.204963551,0.874139628,35,54.48333333,1,Increase,2.45,Increase,TRUE
104,53v2,audioOnly,63,,-0.196114879,-0.143100844,0.619039208,1.470601468,-0.169607861,1.044820338,35,58.08333333,0,Maintain,3.6,Increase,FALSE
104,53v2,audioOnly,66,,-0.147324715,0.530628251,0.877450899,1.70810944,0.191651768,1.292780169,34.83333333,57.6,-0.166666667,Decrease,-0.483333333,Decrease,TRUE
104,53v2,audioOnly,69,,-1.805552791,-0.727048732,-0.15415068,0.52187546,-1.266300762,0.18386239,31.66666667,58.05,-3.166666667,Decrease,0.45,Increase,FALSE
104,53v2,audioOnly,72,,-0.398639143,0.394291808,1.592630794,2.191032607,-0.002173668,1.891831701,31,58.76666667,-0.666666667,Decrease,0.716666667,Increase,FALSE
104,53v2,audioOnly,75,,-0.085766822,0.578484272,0.15415068,1.086189769,0.246358725,0.620170224,31,59.93333333,0,Maintain,1.166666667,Increase,FALSE
104,53v2,audioOnly,78,,0.175448678,0.110348057,-0.423483614,1.5244447,0.142898367,0.550480543,33.83333333,61.98333333,2.833333333,Increase,2.05,Increase,TRUE
104,53v2,audioOnly,81,,-0.856472237,0.312374685,0.593063722,1.495812887,-0.272048776,1.044438304,36,64.53333333,2.166666667,Increase,2.55,Increase,TRUE
104,53v2,audioOnly,84,,-0.398639143,0.110348057,-0.100083459,0.923670839,-0.144145543,0.41179369,35.5,64.2,-0.5,Decrease,-0.333333333,Decrease,TRUE
104,53v2,audioOnly,87,,-0.440311839,-0.310154928,0.223143551,1.418187725,-0.375233384,0.820665638,36.5,69.11666667,1,Increase,4.916666667,Increase,TRUE
104,53v2,audioOnly,90,,0.294508038,0.633043256,0.046520016,1.284015512,0.463775647,0.665267764,41,72.53333333,4.5,Increase,3.416666667,Increase,TRUE
104,53v2,audioOnly,93,,-0.483796951,-1.529395205,-0.113328685,0.893817876,-1.006596078,0.390244595,41,76.46666667,0,Maintain,3.933333333,Increase,FALSE
104,53v2,audioOnly,96,,0.186877373,0.717839793,0.046520016,0.781700578,0.452358583,0.414110297,41,77.56666667,0,Maintain,1.1,Increase,FALSE
